,index,lag,prob
982,31,5,0.02857142857142857
983,32,6,0.0
984,33,7,0.0
985,34,8,0.15384615384615385
986,18,-8,0.0
987,19,-7,0.037037037037037035
988,20,-6,0.0
989,21,-5,0.0
990,22,-4,0.06818181818181818
991,23,-3,0.031746031746031744
992,24,-2,0.10810810810810811
993,25,-1,0.19753086419753085
994,26,0,
995,27,1,0.375
996,28,2,0.12162162162162163
997,29,3,0.11666666666666667
998,30,4,0.1111111111111111
999,31,5,0.05128205128205128
1000,32,6,0.03225806451612903
1001,33,7,0.05
1002,34,8,0.09090909090909091
1003,18,-8,0.0
1004,19,-7,0.0
1005,20,-6,0.09523809523809523
1006,21,-5,0.0
1007,22,-4,0.05555555555555555
1008,23,-3,0.061224489795918366
1009,24,-2,0.125
1010,25,-1,0.31746031746031744
1011,26,0,
1012,27,1,0.3898305084745763
1013,28,2,0.13559322033898305
1014,29,3,0.04081632653061224
1015,30,4,0.022222222222222223
1016,31,5,0.0
1017,32,6,0.0
1018,33,7,0.0
1019,34,8,0.0
1020,18,-8,0.0
1021,19,-7,0.0
1022,20,-6,0.06666666666666667
1023,21,-5,0.06666666666666667
1024,22,-4,0.0
1025,23,-3,0.04
1026,24,-2,0.13333333333333333
1027,25,-1,0.21212121212121213
1028,26,0,
1029,27,1,0.5
1030,28,2,0.058823529411764705
1031,29,3,0.0
1032,30,4,0.0
1033,31,5,0.0
1034,32,6,0.1111111111111111
1035,33,7,0.0
1036,34,8,0.0
1037,18,-8,0.0
1038,19,-7,0.0
1039,20,-6,0.0
1040,21,-5,0.043478260869565216
1041,22,-4,0.06976744186046512
1042,23,-3,0.021739130434782608
1043,24,-2,0.11428571428571428
1044,25,-1,0.0945945945945946
1045,26,0,
1046,27,1,0.4931506849315068
1047,28,2,0.20833333333333334
1048,29,3,0.09090909090909091
1049,30,4,0.06382978723404255
1050,31,5,0.0
1051,32,6,0.0
1052,33,7,0.0
1053,34,8,0.0
1054,18,-8,0.0
1055,19,-7,0.037037037037037035
1056,20,-6,0.0
1057,21,-5,0.08571428571428572
1058,22,-4,0.058823529411764705
1059,23,-3,0.06349206349206349
