,subject,level_1,prob,sem_bin_mean,sem_bin
2520,MTK00466,0,0.3037974683544304,-0.0034157628106186166,0
2521,MTK00466,1,0.16470588235294117,0.037160616900239675,1
2522,MTK00466,2,0.2441860465116279,0.05676497572234699,2
2523,MTK00466,3,0.14285714285714285,0.07685565406625922,3
2524,MTK00466,4,0.17857142857142858,0.0962505946556727,4
2525,MTK00466,5,0.16666666666666666,0.11762128211557865,5
2526,MTK00466,6,0.18181818181818182,0.1392232541527067,6
2527,MTK00466,7,0.11940298507462686,0.16212386265397072,7
2528,MTK00466,8,0.2153846153846154,0.201320258634431,8
2529,MTK00466,9,0.1875,0.3148891081412633,9
2530,MTK00469,0,0.14473684210526316,-0.011604080336507071,0
2531,MTK00469,1,0.1728395061728395,0.032136393045740466,1
2532,MTK00469,2,0.1875,0.05926223446925481,2
2533,MTK00469,3,0.20833333333333334,0.07762962679068247,3
2534,MTK00469,4,0.16455696202531644,0.09589155878011997,4
2535,MTK00469,5,0.16091954022988506,0.11491018906235695,5
2536,MTK00469,6,0.1506849315068493,0.14112403717907993,6
2537,MTK00469,7,0.21621621621621623,0.1662638634443283,7
2538,MTK00469,8,0.2087912087912088,0.20359054129374654,8
2539,MTK00469,9,0.3142857142857143,0.3276184546676549,9
2540,MTK00475,0,0.14285714285714285,-0.0034968433174071833,0
2541,MTK00475,1,0.13846153846153847,0.03563907059530417,1
2542,MTK00475,2,0.140625,0.059391628950834274,2
2543,MTK00475,3,0.12280701754385964,0.07549476304224559,3
2544,MTK00475,4,0.14545454545454545,0.09688729234039783,4
2545,MTK00475,5,0.08064516129032258,0.11557277292013168,5
2546,MTK00475,6,0.08771929824561403,0.1396079868078232,6
2547,MTK00475,7,0.24193548387096775,0.16573488811651865,7
2548,MTK00475,8,0.3269230769230769,0.20406761414864483,8
2549,MTK00475,9,0.3220338983050847,0.29580782118596527,9
2550,MTK00480,0,0.1643835616438356,-0.005646006786264479,0
2551,MTK00480,1,0.23684210526315788,0.03555353793005148,1
2552,MTK00480,2,0.14285714285714285,0.05704631693661213,2
2553,MTK00480,3,0.14285714285714285,0.08092037811875344,3
2554,MTK00480,4,0.15,0.09683358296751976,4
2555,MTK00480,5,0.17567567567567569,0.11597279803111003,5
2556,MTK00480,6,0.15789473684210525,0.13604551926255226,6
2557,MTK00480,7,0.13043478260869565,0.16356506446997324,7
2558,MTK00480,8,0.21621621621621623,0.20403207186609507,8
2559,MTK00480,9,0.35714285714285715,0.3438255339860916,9
2560,MTK00486,0,0.17857142857142858,-0.0053656667470932005,0
2561,MTK00486,1,0.109375,0.0355006219553096,1
2562,MTK00486,2,0.19117647058823528,0.05914437025785446,2
2563,MTK00486,3,0.12162162162162163,0.07595716334051555,3
2564,MTK00486,4,0.14473684210526316,0.09585132178935138,4
2565,MTK00486,5,0.14285714285714285,0.1162341402636634,5
2566,MTK00486,6,0.26153846153846155,0.14128076679566326,6
2567,MTK00486,7,0.20967741935483872,0.1657371142735848,7
2568,MTK00486,8,0.171875,0.21094883165576242,8
2569,MTK00486,9,0.25,0.31113336717381196,9
2570,MTK00491,0,0.14634146341463414,0.0017315483807275693,0
2571,MTK00491,1,0.14285714285714285,0.038268198392220905,1
2572,MTK00491,2,0.1568627450980392,0.059977172408252954,2
2573,MTK00491,3,0.20754716981132076,0.07979401268742302,3
2574,MTK00491,4,0.09090909090909091,0.09810858964920044,4
2575,MTK00491,5,0.08771929824561403,0.11906609386205673,5
2576,MTK00491,6,0.19298245614035087,0.13824995403940027,6
2577,MTK00491,7,0.16981132075471697,0.1654743022388882,7
2578,MTK00491,8,0.2391304347826087,0.20553155514326962,8
2579,MTK00491,9,0.30612244897959184,0.34366223911444344,9
2580,MTK00498,0,0.26229508196721313,-0.0086382988938567,0
2581,MTK00498,1,0.1774193548387097,0.03265214152634144,1
2582,MTK00498,2,0.10606060606060606,0.059206919478518624,2
2583,MTK00498,3,0.14666666666666667,0.07624681429429488,3
2584,MTK00498,4,0.20833333333333334,0.09538322140773138,4
2585,MTK00498,5,0.136986301369863,0.11860997304320335,5
2586,MTK00498,6,0.24615384615384617,0.13784113992005587,6
2587,MTK00498,7,0.15151515151515152,0.16630304008722305,7
2588,MTK00498,8,0.2463768115942029,0.21004797693561106,8
2589,MTK00498,9,0.20588235294117646,0.3260215020605496,9
2590,MTK00501,0,0.24705882352941178,-0.00921433329183076,0
2591,MTK00501,1,0.14285714285714285,0.03711969330906868,1
2592,MTK00501,2,0.14942528735632185,0.05599719171340649,2
2593,MTK00501,3,0.17391304347826086,0.07595263794064522,3
2594,MTK00501,4,0.23333333333333334,0.09623545727559499,4
2595,MTK00501,5,0.27710843373493976,0.11695918829544731,5
2596,MTK00501,6,0.25,0.1369284118215243,6
2597,MTK00501,7,0.24210526315789474,0.16273792282394742,7
2598,MTK00501,8,0.2441860465116279,0.20264945853324162,8
2599,MTK00501,9,0.25316455696202533,0.3232842594385147,9
2600,MTK00529,0,0.16981132075471697,0.004116842963008417,0
2601,MTK00529,1,0.19148936170212766,0.03386560889581839,1
2602,MTK00529,2,0.11320754716981132,0.0598958016683658,2
2603,MTK00529,3,0.10526315789473684,0.07617928584416707,3
2604,MTK00529,4,0.057692307692307696,0.09520799418290456,4
2605,MTK00529,5,0.19230769230769232,0.11451303362846374,5
2606,MTK00529,6,0.21153846153846154,0.13830926066095178,6
2607,MTK00529,7,0.15789473684210525,0.16785552269882625,7
2608,MTK00529,8,0.2727272727272727,0.20119751195112864,8
2609,MTK00529,9,0.34210526315789475,0.3551593113404054,9
2610,MTK00531,0,0.16666666666666666,-0.01527595493462286,0
2611,MTK00531,1,0.26,0.03404938687498753,1
2612,MTK00531,2,0.13725490196078433,0.053354013711214066,2
2613,MTK00531,3,0.16,0.0773416617885232,3
2614,MTK00531,4,0.13333333333333333,0.09788751477996509,4
2615,MTK00531,5,0.15555555555555556,0.11728393073592867,5
2616,MTK00531,6,0.11363636363636363,0.1350580185651779,6
