,subject,spos_bins,repeats,session,recalled,adj_rec
456,R1547D,7.0,,1,,
457,R1547D,8.0,,1,,
458,R1547D,9.0,,1,,
459,R1547D,1.0,,2,,
460,R1547D,2.0,,2,,
461,R1547D,3.0,,2,,
462,R1547D,4.0,,2,,
463,R1547D,5.0,,2,,
464,R1547D,6.0,,2,,
465,R1547D,7.0,,2,,
466,R1547D,8.0,,2,,
467,R1547D,9.0,,2,,
468,R1547D,1.0,,3,,
469,R1547D,2.0,,3,,
470,R1547D,3.0,,3,,
471,R1547D,4.0,,3,,
472,R1547D,5.0,,3,,
473,R1547D,6.0,,3,,
474,R1547D,7.0,,3,,
475,R1547D,8.0,,3,,
476,R1547D,9.0,,3,,
477,R1547D,1.0,,4,,
478,R1547D,2.0,,4,,
479,R1547D,3.0,,4,,
480,R1547D,4.0,,4,,
481,R1547D,5.0,,4,,
482,R1547D,6.0,,4,,
483,R1547D,7.0,,4,,
484,R1547D,8.0,,4,,
485,R1547D,9.0,,4,,
486,R1547D,1.0,,5,,
487,R1547D,2.0,,5,,
488,R1547D,3.0,,5,,
489,R1547D,4.0,,5,,
490,R1547D,5.0,,5,,
491,R1547D,6.0,,5,,
492,R1547D,7.0,,5,,
493,R1547D,8.0,,5,,
494,R1547D,9.0,,5,,
495,R1547D,1.0,,6,,
496,R1547D,2.0,,6,,
497,R1547D,3.0,,6,,
498,R1547D,4.0,,6,,
499,R1547D,5.0,,6,,
500,R1547D,6.0,,6,,
501,R1547D,7.0,,6,,
502,R1547D,8.0,,6,,
503,R1547D,9.0,,6,,
504,R1556J,1.0,1.0,0,0.08333333333333333,0.017777777777777712
505,R1556J,2.0,1.0,0,0.0,0.1069074074074074
506,R1556J,3.0,1.0,0,0.0,0.057111111111111106
507,R1556J,4.0,1.0,0,0.0,0.0340324074074074
508,R1556J,5.0,1.0,0,0.16666666666666666,0.19382407407407407
509,R1556J,6.0,1.0,0,0.1,0.12535648148148149
510,R1556J,7.0,1.0,0,0.0,-0.1298333333333333
511,R1556J,8.0,1.0,0,0.41666666666666663,0.44907175925925924
512,R1556J,9.0,1.0,0,0.0,0.2482797619047619
513,R1556J,1.0,1.0,1,0.2222222222222222,0.1566666666666666
514,R1556J,2.0,1.0,1,0.0,0.1069074074074074
515,R1556J,3.0,1.0,1,0.0,0.057111111111111106
516,R1556J,4.0,1.0,1,0.16666666666666666,0.20069907407407406
517,R1556J,5.0,1.0,1,0.0,0.027157407407407408
518,R1556J,6.0,1.0,1,0.0,0.02535648148148148
519,R1556J,7.0,1.0,1,0.0,-0.1298333333333333
520,R1556J,8.0,1.0,1,0.0,0.03240509259259261
521,R1556J,9.0,1.0,1,0.35,0.5982797619047618
522,R1556J,1.0,1.0,2,0.5,0.4344444444444444
523,R1556J,2.0,1.0,2,0.0,0.1069074074074074
524,R1556J,3.0,1.0,2,0.0,0.057111111111111106
525,R1556J,4.0,1.0,2,0.0,0.0340324074074074
526,R1556J,5.0,1.0,2,0.0,0.027157407407407408
527,R1556J,6.0,1.0,2,0.16666666666666666,0.19202314814814814
528,R1556J,7.0,1.0,2,0.8333333333333333,0.7035
529,R1556J,8.0,1.0,2,0.225,0.2574050925925926
530,R1556J,9.0,1.0,2,0.3333333333333333,0.5816130952380952
531,R1556J,1.0,,3,,
532,R1556J,2.0,,3,,
533,R1556J,3.0,,3,,
534,R1556J,4.0,,3,,
535,R1556J,5.0,,3,,
536,R1556J,6.0,,3,,
537,R1556J,7.0,,3,,
538,R1556J,8.0,,3,,
539,R1556J,9.0,,3,,
540,R1556J,1.0,,4,,
541,R1556J,2.0,,4,,
542,R1556J,3.0,,4,,
543,R1556J,4.0,,4,,
544,R1556J,5.0,,4,,
545,R1556J,6.0,,4,,
546,R1556J,7.0,,4,,
547,R1556J,8.0,,4,,
548,R1556J,9.0,,4,,
549,R1556J,1.0,,5,,
550,R1556J,2.0,,5,,
551,R1556J,3.0,,5,,
552,R1556J,4.0,,5,,
553,R1556J,5.0,,5,,
554,R1556J,6.0,,5,,
555,R1556J,7.0,,5,,
556,R1556J,8.0,,5,,
557,R1556J,9.0,,5,,
558,R1556J,1.0,,6,,
559,R1556J,2.0,,6,,
560,R1556J,3.0,,6,,
561,R1556J,4.0,,6,,
562,R1556J,5.0,,6,,
563,R1556J,6.0,,6,,
564,R1556J,7.0,,6,,
565,R1556J,8.0,,6,,
566,R1556J,9.0,,6,,
567,R1564J,1.0,1.0,0,0.25,0.31407407407407406
568,R1564J,2.0,1.0,0,0.08333333333333333,0.1254259259259259
569,R1564J,3.0,,0,,
570,R1564J,4.0,1.0,0,0.08333333333333333,0.1451435185185185
571,R1564J,5.0,1.0,0,0.0,0.045675925925925925
572,R1564J,6.0,1.0,0,0.0,0.11424537037037037
573,R1564J,7.0,1.0,0,0.0,0.10627777777777778
574,R1564J,8.0,1.0,0,0.25,0.28796064814814815
575,R1564J,9.0,1.0,0,0.5,0.559390873015873
576,R1564J,1.0,1.0,1,0.16666666666666666,0.23074074074074072
577,R1564J,2.0,1.0,1,0.1111111111111111,0.15320370370370368
578,R1564J,3.0,1.0,1,0.0,0.057111111111111106
579,R1564J,4.0,1.0,1,0.0,0.061810185185185176
580,R1564J,5.0,1.0,1,0.0,0.045675925925925925
581,R1564J,6.0,1.0,1,0.0,0.11424537037037037
582,R1564J,7.0,1.0,1,0.125,0.23127777777777778
583,R1564J,8.0,1.0,1,0.20833333333333331,0.24629398148148146
584,R1564J,9.0,1.0,1,0.0,0.05939087301587298
585,R1564J,1.0,1.0,2,0.0,0.06407407407407406
586,R1564J,2.0,1.0,2,0.0,0.042092592592592584
587,R1564J,3.0,1.0,2,0.0,0.057111111111111106
588,R1564J,4.0,1.0,2,0.0,0.061810185185185176
589,R1564J,5.0,1.0,2,0.1111111111111111,0.15678703703703703
590,R1564J,6.0,1.0,2,0.0,0.11424537037037037
591,R1564J,7.0,1.0,2,0.0,0.10627777777777778
592,R1564J,8.0,1.0,2,0.16666666666666666,0.2046273148148148
593,R1564J,9.0,1.0,2,0.75,0.809390873015873
594,R1564J,1.0,,3,,
595,R1564J,2.0,,3,,
596,R1564J,3.0,,3,,
597,R1564J,4.0,,3,,
598,R1564J,5.0,,3,,
599,R1564J,6.0,,3,,
600,R1564J,7.0,,3,,
601,R1564J,8.0,,3,,
602,R1564J,9.0,,3,,
603,R1564J,1.0,,4,,
604,R1564J,2.0,,4,,
605,R1564J,3.0,,4,,
606,R1564J,4.0,,4,,
607,R1564J,5.0,,4,,
608,R1564J,6.0,,4,,
609,R1564J,7.0,,4,,
610,R1564J,8.0,,4,,
611,R1564J,9.0,,4,,
612,R1564J,1.0,,5,,
613,R1564J,2.0,,5,,
614,R1564J,3.0,,5,,
615,R1564J,4.0,,5,,
616,R1564J,5.0,,5,,
617,R1564J,6.0,,5,,
618,R1564J,7.0,,5,,
619,R1564J,8.0,,5,,
620,R1564J,9.0,,5,,
621,R1564J,1.0,,6,,
622,R1564J,2.0,,6,,
623,R1564J,3.0,,6,,
624,R1564J,4.0,,6,,
625,R1564J,5.0,,6,,
626,R1564J,6.0,,6,,
627,R1564J,7.0,,6,,
628,R1564J,8.0,,6,,
629,R1564J,9.0,,6,,
630,R1566D,1.0,,0,,
631,R1566D,2.0,,0,,
632,R1566D,3.0,,0,,
633,R1566D,4.0,,0,,
634,R1566D,5.0,,0,,
635,R1566D,6.0,,0,,
636,R1566D,7.0,,0,,
637,R1566D,8.0,,0,,
638,R1566D,9.0,,0,,
639,R1566D,1.0,1.0,1,0.08333333333333333,0.17518518518518517
640,R1566D,2.0,1.0,1,0.08333333333333333,0.16246296296296295
641,R1566D,3.0,1.0,1,0.0,0.057111111111111106
642,R1566D,4.0,1.0,1,0.25,0.23958796296296297
643,R1566D,5.0,1.0,1,0.0,0.08271296296296296
644,R1566D,6.0,1.0,1,0.0,0.11424537037037037
645,R1566D,7.0,1.0,1,0.0,0.0646111111111111
646,R1566D,8.0,1.0,1,0.38888888888888884,0.19305324074074073
647,R1566D,9.0,1.0,1,0.8333333333333333,0.7677242063492062
648,R1566D,1.0,,2,,
649,R1566D,2.0,,2,,
650,R1566D,3.0,,2,,
651,R1566D,4.0,,2,,
652,R1566D,5.0,,2,,
653,R1566D,6.0,,2,,
654,R1566D,7.0,,2,,
655,R1566D,8.0,,2,,
656,R1566D,9.0,,2,,
657,R1566D,1.0,1.0,3,0.25,0.34185185185185185
658,R1566D,2.0,1.0,3,0.0,0.07912962962962962
659,R1566D,3.0,1.0,3,0.0,0.057111111111111106
660,R1566D,4.0,1.0,3,0.05,0.039587962962962964
661,R1566D,5.0,1.0,3,0.0,0.08271296296296296
662,R1566D,6.0,1.0,3,0.0,0.11424537037037037
663,R1566D,7.0,1.0,3,0.25,0.3146111111111111
664,R1566D,8.0,1.0,3,0.75,0.5541643518518519
665,R1566D,9.0,1.0,3,0.16666666666666666,0.1010575396825397
666,R1566D,1.0,1.0,4,0.0,0.09185185185185182
667,R1566D,2.0,1.0,4,0.0,0.07912962962962962
668,R1566D,3.0,1.0,4,0.0,0.057111111111111106
669,R1566D,4.0,1.0,4,0.0,-0.010412037037037039
